FIPStxt,State,Area_Name,BIRTHS_2020,BIRTHS_2021,BIRTHS_2022,BIRTHS_2023,CENSUS_2020_POP,DEATHS_2020,DEATHS_2021,DEATHS_2022,DEATHS_2023,DOMESTIC_MIG_2020,DOMESTIC_MIG_2021,DOMESTIC_MIG_2022,DOMESTIC_MIG_2023,ESTIMATES_BASE_2020,GQ_ESTIMATES_2020,GQ_ESTIMATES_2021,GQ_ESTIMATES_2022,GQ_ESTIMATES_2023,GQ_ESTIMATES_BASE_2020,INTERNATIONAL_MIG_2020,INTERNATIONAL_MIG_2021,INTERNATIONAL_MIG_2022,INTERNATIONAL_MIG_2023,NATURAL_CHG_2020,NATURAL_CHG_2021,NATURAL_CHG_2022,NATURAL_CHG_2023,NET_MIG_2020,NET_MIG_2021,NET_MIG_2022,NET_MIG_2023,N_POP_CHG_2020,N_POP_CHG_2021,N_POP_CHG_2022,N_POP_CHG_2023,POP_ESTIMATE_2020,POP_ESTIMATE_2021,POP_ESTIMATE_2022,POP_ESTIMATE_2023,RESIDUAL_2020,RESIDUAL_2021,RESIDUAL_2022,RESIDUAL_2023,R_BIRTH_2021,R_BIRTH_2022,R_BIRTH_2023,R_DEATH_2021,R_DEATH_2022,R_DEATH_2023,R_DOMESTIC_MIG_2021,R_DOMESTIC_MIG_2022,R_DOMESTIC_MIG_2023,R_INTERNATIONAL_MIG_2021,R_INTERNATIONAL_MIG_2022,R_INTERNATIONAL_MIG_2023,R_NATURAL_CHG_2021,R_NATURAL_CHG_2022,R_NATURAL_CHG_2023,R_NET_MIG_2021,R_NET_MIG_2022,R_NET_MIG_2023,"Bachelor's degree or higher, 2019-23","High school graduate (or equivalency), 2019-23","Less than high school graduate, 2019-23","Percent of adults completing some college or associate degree, 2019-23","Percent of adults who are high school graduates (or equivalent), 2019-23","Percent of adults who are not high school graduates, 2019-23","Percent of adults with a bachelor's degree or higher, 2019-23","Some college or associate degree, 2019-23"
38000,ND,North Dakota,2563,10019,9839,9649,779094,1751,7766,7390,6945,-448,-4008,-2727,-9,779079,26189,27965,28818,28831,26204,29,453,1260,2298,812,2253,2449,2704,-419,-3555,-1467,2289,484,-1581,930,5014,779563,777982,778912,783926,91,-279,-52,21,12,12,12,10,9,8,-5,-3,0,0,1,2,2,3,3,-4,-1,2,164378,130763,31418,35,25,6,32,182590
39000,OH,Ohio,32340,128271,128796,128826,11799448,33762,146812,149079,131288,-2867,-27624,-4862,637,11799331,299438,270472,288579,296114,299586,518,9280,23737,28081,-1422,-18541,-20283,-2462,-2349,-18344,18875,28718,-1039,-33065,-5530,26238,11798292,11765227,11759697,11785935,2732,3820,-4122,-18,10,10,10,12,12,11,-2,0,0,0,2,2,-1,-1,0,-1,1,2,2514129,2624935,680554,28,32,8,30,2303726
40000,OK,Oklahoma,11579,47473,48121,48073,3959353,10353,50805,51669,45506,3825,26348,26304,23587,3959411,117255,117498,117361,117382,117326,172,2188,5663,8380,1226,-3332,-3548,2567,3997,28536,31967,31967,5823,26400,27637,34553,3965234,3991634,4019271,4053824,600,1196,-782,19,11,12,11,12,12,11,6,6,5,0,1,2,0,0,0,7,8,7,733793,811387,287078,30,30,10,27,809067
41000,OR,Oregon,10281,39660,40521,39046,4237256,9546,41943,46369,43285,6407,10253,-17575,-6051,4237279,96910,97142,97031,97030,96931,177,2609,7234,4304,735,-2283,-5848,-4239,6584,12862,-10341,-1747,7765,11421,-17086,-6021,4245044,4256465,4239379,4233358,446,842,-897,-35,9,9,9,9,10,10,2,-4,-1,0,1,1,0,-1,-1,3,-2,0,1094312,676182,250221,33,22,8,36,1000295
42000,PA,Pennsylvania,32903,130245,131600,129489,13002700,40289,155661,155062,140568,-3696,27803,-39731,-24825,13002788,404164,431829,432990,433964,404194,626,10199,25721,25776,-7386,-25416,-23462,-11079,-3070,38002,-14010,951,-7311,18137,-41523,-10408,12995477,13013614,12972091,12961683,3145,5551,-4051,-280,10,10,10,12,11,10,2,-3,-1,0,2,2,-2,-1,0,2,-1,0,3157318,3039316,740736,24,33,8,34,2215776
44000,RI,Rhode Island,2546,10030,10386,10006,1097379,3389,11332,11078,10434,-430,365,-4855,-3224,1097371,45748,44923,44621,44013,45742,77,1072,2663,5777,-843,-1302,-692,-428,-353,1437,-2192,2553,-927,648,-3250,2120,1096444,1097092,1093842,1095962,269,513,-366,-5,9,9,9,10,10,9,0,-4,-2,1,2,5,-1,0,0,1,-2,2,289667,205862,81676,25,26,10,37,199300
45000,SC,South Carolina,13492,55815,57508,57581,5118425,14065,64911,64636,58852,14724,67368,83401,82562,5118422,136629,135870,139073,139093,138600,335,4028,10467,9291,-573,-9096,-7128,-1271,15059,71396,93868,91853,13729,61697,89107,90600,5132151,5193848,5282955,5373555,-757,-603,2367,18,10,11,10,12,12,11,13,15,15,0,2,1,-1,-1,0,13,17,17,1136208,1019313,375697,29,28,10,31,1079156
46000,SD,South Dakota,2832,11063,11324,11369,886667,2020,9779,9226,8556,299,6026,8374,4812,886668,32122,32077,32214,32218,32154,65,1100,2781,1788,812,1284,2098,2813,364,7126,11155,6600,1184,8447,13570,9449,887852,896299,909869,919318,8,37,317,36,12,12,12,11,10,9,6,9,5,1,3,2,1,2,3,8,12,7,185411,175713,41643,32,29,6,31,193370
47000,TN,Tennessee,19250,79463,82053,82244,6910840,18931,89405,91616,81216,14621,45241,83818,63417,6910786,156412,135988,145366,148006,156477,208,3114,7993,13054,319,-9942,-9563,1028,14829,48355,91811,76471,15305,37618,85267,77513,6926091,6963709,7048976,7126489,157,-795,3019,14,11,11,11,12,13,11,6,12,8,0,1,1,-1,-1,0,7,13,10,1460501,1508292,499497,27,31,10,30,1337243
48000,TX,Texas,88268,364918,384024,390494,29145505,55732,270419,261745,232241,52914,191643,224896,186767,29145459,606181,608077,604736,605204,606011,1957,43475,117197,128534,32536,94499,122279,158253,54871,235118,342093,315301,88902,326925,468562,473453,29234361,29561286,30029848,30503301,1495,-2692,4190,-101,12,12,12,9,8,7,6,7,6,1,3,4,3,4,5,8,11,10,6381971,4691708,2759723,28,24,14,33,5461229
49000,UT,Utah,11862,45703,46371,45965,3271616,4964,21993,23370,21169,4636,29664,13803,1338,3271614,55431,50973,53718,55398,55459,120,2054,5462,10285,6898,23710,23001,24796,4756,31718,19265,11623,12368,55302,41952,36498,3283982,3339284,3381236,3417734,714,-126,-314,79,13,13,13,6,7,6,9,4,0,0,1,3,7,6,7,9,5,3,739555,449786,134602,33,22,6,36,679141
50000,VT,Vermont,1303,5153,5385,5072,643077,1565,6447,7216,6876,-66,4842,1126,844,643077,24880,24875,24940,24942,24888,21,415,1009,1312,-262,-1294,-1831,-1804,-45,5257,2135,2156,-141,4157,17,354,642936,647093,647110,647464,166,194,-287,2,8,8,7,10,11,10,7,1,1,0,1,2,-2,-2,-2,8,3,3,197369,126179,25326,24,27,5,42,114122
51000,VA,Virginia,23580,94275,96018,95669,8631393,19723,83763,86329,79980,-31,-5468,-24930,-6985,8631373,236622,235919,235960,235956,236654,764,14296,37444,28117,3857,10512,9689,15689,733,8828,12514,21132,5820,20155,21751,36599,8637193,8657348,8679099,8715698,1230,815,-452,-222,10,11,11,9,10,9,0,-2,0,1,4,3,1,1,1,1,1,2,2471630,1423702,516186,25,23,8,41,1547397
53000,WA,Washington,21105,82602,83874,82523,7705281,15173,64924,70848,67663,11889,-15418,-4692,-15276,7705267,160185,140345,153013,153031,160193,673,13996,37322,28919,5932,17678,13026,14860,12562,-1422,32630,13643,19299,16867,43044,28403,7724566,7741433,7784477,7812880,805,611,-2612,-100,10,10,10,8,9,8,-2,0,-2,1,4,3,2,1,1,0,4,1,2097154,1176403,421541,31,21,7,38,1714049
54000,WV,West Virginia,4296,17056,17100,17263,1793716,5871,27613,30006,25929,-813,2878,414,3595,1793713,52000,51955,52060,52052,52037,36,727,1792,1101,-1575,-10557,-12906,-8666,-777,3605,2206,4696,-2151,-6313,-11214,-3964,1791562,1785249,1774035,1770071,201,639,-514,6,9,9,9,15,16,14,1,0,2,0,1,0,-5,-7,-4,2,1,2,295541,501118,144554,25,39,11,23,327989
55000,WI,Wisconsin,15554,60034,60702,59839,5893718,14171,61983,63601,58692,13,-19290,7392,5648,5893713,151195,125797,137002,137061,151269,215,3189,7906,13653,1383,-1949,-2899,1147,228,-16101,15298,19301,2987,-16722,10565,20412,5896700,5879978,5890543,5910955,1376,1328,-1834,-36,10,10,10,10,10,9,-3,1,1,0,1,2,0,0,0,-2,2,3,1333128,1207407,269431,30,29,6,32,1259617
56000,WY,Wyoming,1584,6164,6046,5882,576851,1290,6176,6754,5779,436,1764,2475,2016,576850,13285,13476,13908,13910,13290,18,134,364,322,294,-12,-708,103,454,1898,2839,2338,814,1884,2081,2428,577664,579548,581629,584057,66,-2,-50,-13,10,10,10,10,11,9,3,4,3,0,0,0,0,-1,0,3,4,4,118336,109885,23502,36,27,5,29,143781
72000,PR,Puerto Rico,0,0,0,0,3285874,0,0,0,0,0,0,0,0,3285874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3281557,3262693,3220113,3205691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,702653,670172,472462,23,27,19,29,566777
